question,answer
What are the early symptoms of cataracts?,a0
How does cataract surgery improve vision?,a1
Can cataracts be prevented or slowed down?,a3
What are the risks associated with cataract surgery?,a4
How do cataracts affect night vision?,a5
"What is the difference between nuclear, cortical, and posterior subcapsular cataracts?",a5
At what age do cataracts typically develop?,a6
Can diabetes increase the risk of cataracts?,a7
How long does it take to recover from cataract surgery?,a8
Are there non-surgical treatments for cataracts?,a9
